,Unnamed: 0,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,XHead,YHead,label
112,7,287.6,93.0,266.6,125.0,264.4,125.0,296.0,164.0,219.0,203.0,275.0,125.0,300.0,164.0,325.0,203.0,244.0,203.0,237.6,203.0,262.4,242.00051200000001,187.0,328.0,246.0,203.0,268.6,273.0,156.0,295.4,283.2,93.0,198.0,143.8,273.0,93.0,291.9703290577271,171.3579028295541,274.34113550604314,294.5233432420772,271.09761597969447,288.0744897171194,244.0,344.0,268.8,336.0,198.0,336.0,177.0,303.4,266.7540658115454,118.83158056591083,top
118,13,292.0,125.0,260.0,133.0,264.4,133.0,296.0,172.0,250.0,203.0,275.0,133.0,300.0,172.0,325.0,187.0,240.0,195.0,240.0,195.0,260.0,242.00051200000001,260.0,297.0,250.0,195.0,268.6,242.0,229.0,295.4,283.2,125.0,204.86874666666665,112.62912,281.0,117.0,291.9703290577271,171.3579028295541,274.34113550604314,297.0,271.09761597969447,288.0744897171194,244.0,281.0,268.8,305.0,271.0,305.0,250.0,305.0,270.6078151448788,130.19740456591083,top
122,17,287.6,142.0,266.6,195.0,271.0,187.0,296.0,187.0,250.0,219.0,275.0,211.0,302.0,170.0,323.0,168.6,250.0,211.0,229.0,203.0,260.0,242.0,260.0,297.0,246.0,211.0,281.0,242.0,271.0,295.4,283.2,135.8,243.9164318422879,148.7448868304873,273.0,195.0,291.9703290577271,171.3579028295541,281.0,294.5233432420772,271.09761597969447,288.0744897171194,244.0,281.0,271.0,305.0,260.0,305.0,250.0,305.0,275.937352180003,158.58055793200828,top
124,19,287.6,142.0,266.6,195.0,271.0,180.0,296.0,187.0,250.0,219.0,275.0,211.0,302.0,170.0,325.0,168.6,250.0,211.0,229.0,203.0,260.0,242.0,260.0,297.0,246.0,211.0,281.0,242.0,271.0,295.4,283.2,135.8,313.0,143.8,273.0,187.0,291.9703290577271,171.3579028295541,281.0,294.5233432420772,271.09761597969447,288.0744897171194,244.0,273.0,271.0,305.0,260.0,305.0,250.0,305.0,289.7540658115454,155.99158056591082,top
130,25,292.0,117.0,260.0,125.0,260.0,125.0,296.0,148.0,250.0,172.0,271.0,125.0,300.0,162.06666666666666,325.0,180.5476190476191,244.0,187.0,249.0909090909091,195.0,260.0,242.0,250.0,297.0,246.0,187.0,260.0,242.0,250.0,289.0,283.2,109.0,283.85146456778125,158.17538613108738,281.0,109.0,291.9703290577271,171.3579028295541,271.0,289.0,271.0,289.0,250.0,297.0,271.0,305.0,260.0,305.0,250.0,305.0,286.4043587251017,132.9066577921283,top
134,29,292.0,117.0,260.0,125.0,264.4,125.0,296.0,156.0,281.0,180.0,275.0,125.0,300.0,154.13174603174602,325.0,187.0,244.0,187.0,250.0,187.0,260.0,242.0,250.0,297.0,246.0,187.0,260.0,242.0,250.0,289.0,283.2,109.0,287.71405203040086,148.12080308757672,271.0,109.0,291.9703290577271,171.3579028295541,273.0,289.0,271.0,288.0744897171194,250.0,297.0,271.0,305.0,260.0,305.0,250.0,305.0,285.1768762176256,130.89574118342617,top
139,34,292.0,117.0,260.0,125.0,264.4,125.0,296.0,156.0,281.0,164.0,275.0,125.0,300.0,148.0,325.0,156.0,250.0,187.0,250.0,187.0,250.0,242.0,250.0,297.0,246.0,187.0,260.0,242.0,250.0,289.0,283.2,109.0,287.46925373688066,152.22713340092898,271.0,101.0,291.9703290577271,171.3579028295541,271.0,297.0,271.0,289.0,250.0,297.0,271.0,313.0,260.0,313.0,241.8181818181818,305.0,285.1279165589216,130.11700724609662,top
143,38,281.0,117.0,260.0,125.0,264.4,125.0,296.0,164.0,281.0,172.0,275.0,125.0,300.0,156.0,325.0,164.0,250.0,187.0,250.0,187.0,250.0,242.0,250.0,297.0,246.0,187.0,260.0,242.0,250.0,289.0,281.0,109.0,287.5209226492853,152.59375511239452,271.0,101.0,291.9703290577271,171.3579028295541,271.0,289.0,271.0,288.0744897171194,249.0,292.2,271.0,305.0,260.0,313.0,240.0,305.0,282.49825034140247,130.1903315883897,top
166,61,292.0,117.0,260.0,125.0,264.4,125.0,296.0,164.0,271.0,195.0,275.0,125.0,300.0,159.14078361803138,325.0,171.8305555555556,250.0,187.0,250.0,195.0,250.0,242.00051200000001,250.0,305.0,250.0,187.0,268.6,243.58677685950414,250.0,289.0,281.0,109.0,274.1635525321924,101.47897649350315,271.0,109.0,291.9703290577271,171.3579028295541,271.0,290.5555555555556,271.09761597969447,287.4444444444445,248.16326530612244,299.61224489795916,271.0,305.0,260.0,305.0,250.0,305.0,282.0267763179839,121.56737586461145,top
173,68,287.6,109.0,266.6,125.0,264.4,125.0,296.0,156.0,302.0,140.0,275.0,125.0,300.0,148.0,325.0,140.0,244.0,187.0,237.6,187.0,260.0,242.0,250.0,297.0,246.0,187.0,260.0,242.0,250.0,289.0,283.2,101.0,270.4721334746423,99.1923621529767,273.0,101.0,291.9703290577271,171.3579028295541,271.0,292.0616746666667,271.09761597969447,290.03739733333333,247.16982857142855,301.6167771428572,268.8,305.0,260.0,305.0,250.0,305.0,281.24849250647384,116.31005299650614,top
