,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel
26,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,250.0,946.0,187.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,219.0,850.8,90.4,890.0,219.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
27,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,297.0,946.0,234.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,266.0,850.8,90.4,890.0,266.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
28,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,328.0,946.0,266.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,281.0,850.8,90.4,890.0,297.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
29,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,344.0,946.0,281.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,297.0,850.8,90.4,890.0,313.0,946.0,688.0,973.0,688.0,918.0,641.0,751.0,688.0,751.0,673.0,779.0,641.0
30,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,344.0,946.0,281.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,297.0,850.8,90.4,890.0,313.0,946.0,688.0,973.0,688.0,918.0,641.0,751.0,688.0,751.0,673.0,779.0,641.0
31,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,344.0,946.0,281.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,313.0,850.8,90.4,890.0,313.0,946.0,688.0,973.0,673.0,918.0,641.0,751.0,688.0,751.0,673.0,779.0,641.0
32,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,344.0,946.0,281.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,297.0,850.8,90.4,890.0,297.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
33,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,281.0,946.0,219.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,234.0,850.8,90.4,890.0,250.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
34,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,219.0,946.0,156.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,172.0,850.8,90.4,890.0,187.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
35,895.6,125.0,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,187.0,946.0,156.0,946.0,93.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,946.0,516.0,946.0,641.0,834.0,109.0,862.0,109.0,850.8,125.0,890.0,125.0,946.0,688.0,973.0,673.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
36,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,62.0,918.0,156.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,487.8,779.0,641.0,806.2,334.4,918.0,516.0,946.0,641.0,834.0,78.0,862.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,673.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
37,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,78.0,918.0,156.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,500.0,779.0,641.0,806.2,334.4,918.0,500.0,946.0,641.0,834.0,78.0,890.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
38,895.6,93.0,862.0,172.0,806.0,172.0,962.2,118.4,1045.8,78.0,918.0,172.0,950.5,169.16666666666666,927.3333333333334,119.5,822.8,375.0,856.4,375.0,867.6,487.8,779.0,641.0,806.2,334.4,918.0,516.0,946.0,641.0,834.0,78.0,890.0,78.0,850.8,90.4,890.0,149.6,946.0,688.0,973.0,673.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
39,895.6,106.71428571428571,854.0,180.71428571428572,806.5714285714286,180.71428571428572,962.2,118.4,1045.8,52.4,894.0,171.57142857142858,951.25,150.52777777777777,924.2222222222222,102.91666666666667,822.8,372.85714285714283,856.4,375.14285714285717,867.6,507.14285714285717,794.7142857142857,641.0,806.2,334.4,934.6,516.0,946.0,641.0,842.0,91.28571428571429,873.2,103.0,850.8,113.09523809523809,890.0,129.52,946.0,688.0,973.0,679.0,918.0,657.0,798.7142857142857,683.7142857142857,790.7142857142857,673.0,794.7142857142857,645.5714285714286
40,873.5,96.96428571428572,850.5,170.96428571428572,816.9464285714286,170.96428571428572,962.2,141.69642857142856,1045.8,52.4,883.5,161.82142857142856,952.125,139.11574074074073,920.5925925925926,94.06944444444446,822.8,365.1071428571429,856.4,367.3928571428571,867.6,501.26785714285717,801.5892857142858,641.0,806.2,334.4,926.9200000000001,512.8,946.0,641.0,845.5,81.41071428571428,875.4399999999999,89.2,850.8,103.34523809523809,890.0,118.024,946.0,688.0,973.0,677.2,918.0,657.0,819.5892857142858,681.8392857142858,808.0892857142858,673.0,801.5892857142858,647.5714285714286
