,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle,time
10,302.0,65.2,281.0,148.0,260.0,121.8,240.0,172.0,250.0,203.0,347.8,115.4,373.0,172.0,381.6,203.0,296.0,195.0,266.4,195.0,260.0,334.8,260.0,297.0,329.2,256.2,315.0,333.2,260.0,281.0,279.2,57.4,302.4,52.8,264.2,60.6,312.6,57.4,281.0,289.0,281.0,281.0,260.0,289.0,271.0,305.0,271.0,313.0,250.0,305.0,2.621152655939851,56.94502967139447,159.70120245229782,124.9797328773846,158.80023099874396,1550516378.5871453
11,292.0,65.2,295.8,125.0,260.0,125.0,229.0,189.2,240.0,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,260.0,334.8,260.0,297.0,329.2,256.2,315.0,333.2,260.0,289.0,292.0,57.4,302.4,52.8,264.2,60.6,312.6,57.4,271.0,288.1272727272727,281.0,297.0,250.0,297.0,271.0,305.0,271.0,305.0,250.0,305.0,7.399594659887173,61.662213565843615,171.4557131742778,112.45092516823307,173.54876257010991,1550516378.5871453
12,292.0,65.2,295.8,125.0,260.0,125.0,229.0,189.2,250.0,262.4,347.8,115.4,373.0,176.0,381.6,257.8,296.0,257.8,260.0,195.0,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,292.0,57.4,302.4,52.8,264.2,60.6,312.6,57.4,271.0,289.0,271.0,289.0,250.0,297.0,271.0,305.0,260.0,305.0,250.0,305.0,14.818147250880822,66.23313616812784,173.86457888100827,120.95156631139513,173.54876257010991,1550516378.5871453
13,292.0,65.2,295.8,125.0,260.0,125.0,240.0,189.2,250.0,262.4,347.8,115.4,373.0,174.42857142857142,381.6,257.8,296.0,195.0,250.0,195.0,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,292.0,57.4,302.4,52.8,264.2,60.6,312.6,57.4,271.0,281.0,271.0,281.0,250.0,297.0,271.0,313.0,260.0,313.0,250.0,305.0,10.726705361174767,66.23313616812784,157.0875448188992,144.22807759860393,176.33695700567682,1550516378.5871453
14,292.0,65.2,295.8,125.0,250.0,125.0,250.0,156.0,218.6,262.4,347.8,115.4,373.0,165.9183673469388,381.6,257.8,296.0,257.8,250.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,292.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,273.0,287.4,274.0,285.0,250.9090909090909,297.0,271.0,305.0,260.0,305.0,250.0,305.0,7.41855259099377,66.23313616812784,166.09184090168654,120.95156631139513,173.54876257010991,1550516378.5871453
15,292.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,292.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,281.0,271.0,281.0,250.0,297.0,271.0,313.0,260.0,313.0,240.0,305.0,0.0,66.23313616812784,157.0875448188992,128.75793058454616,169.86713109956176,1550516378.5871453
16,292.0,65.2,295.8,125.0,250.0,125.0,260.0,156.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,292.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.0,271.0,289.0,250.0,297.0,271.0,305.0,260.0,313.0,240.0,305.0,0.0,66.23313616812784,173.86457888100827,119.73259397576815,169.86713109956176,1550516378.5871453
17,281.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,281.0,271.0,281.0,250.0,297.0,271.0,313.0,260.0,313.0,240.0,305.0,0.0,66.23313616812784,157.0875448188992,128.75793058454616,169.86713109956176,1550516378.5871453
18,281.0,65.2,295.8,125.0,250.0,125.0,260.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.0,271.0,289.0,250.0,289.0,271.0,313.0,260.0,313.0,240.0,305.0,0.0,66.23313616812784,178.45762916894626,128.75793058454616,169.86713109956176,1550516378.5871453
19,281.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,290.45454545454544,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.0,271.0,281.0,250.0,295.54545454545456,271.0,305.0,260.0,313.0,240.0,305.0,0.0,67.11902340786573,167.29806905352018,119.73259397576815,169.86713109956176,1550516378.5871453
