,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle,time
0,197.8,93.0,198.0,140.4,198.0,129.4,166.0,135.6,124.8,140.0,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.0,154.0,305.0,229.0,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,86.0,183.2,148.0,225.2,123.4,229.00689968943743,317.40042938246427,251.14371003329546,336.0,229.0,328.0,198.0,326.4,198.0,328.0,240.0,320.0,91.54936669782504,172.035386821841,143.6797039459388,30.49965094439156,134.28597464115796,1550512003.025822
1,197.8,93.0,198.0,140.4,177.0,129.4,166.0,135.6,124.8,140.0,250.0,154.6,240.0,215.6,244.8,270.6,208.0,214.0,198.0,203.0,133.0,219.0,154.0,305.0,219.0,222.0,219.0,286.2,237.42405342447518,313.0,191.4,148.0,206.2,86.0,183.2,148.0,225.2,62.0,229.00689968943743,317.40042938246427,251.14371003329546,336.0,240.0,320.0,198.0,326.4,198.0,328.0,240.0,320.0,90.1063538391466,145.4928512089814,109.17293869324628,30.49965094439156,132.60336781729544,1550512003.025822
2,197.8,93.0,198.0,140.4,198.0,129.4,166.0,135.6,124.8,140.0,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,226.0,154.0,313.0,240.0,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,86.0,183.2,148.0,225.2,62.0,229.00689968943743,317.40042938246427,251.14371003329546,336.0,229.0,328.0,198.0,326.4,198.0,328.0,240.0,320.0,97.85914930356726,162.26477020015406,143.6797039459388,29.9280381632872,136.6212065252296,1550512003.025822
3,197.8,93.0,198.0,140.104,198.0,128.52,166.0,135.6,124.8,140.0,250.0,150.28,256.2,187.0,246.0,270.6,210.4,211.8,191.6,203.0,133.0,242.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,86.0,183.2,148.0,225.2,93.0,229.00689968943743,317.40042938246427,251.14371003329546,336.0,240.0,320.0,198.0,326.4,198.0,328.0,240.0,320.0,107.16803580317183,167.3317176869807,134.0538599990527,35.325333110422214,141.85421260333132,1550512003.025822
4,190.11200000000002,94.8,201.875,140.4,199.125,129.4,166.0,135.6,124.8,140.0,250.0,154.6,256.2,215.6,246.0,270.6,219.0,214.0,191.6,203.0,133.0,211.0,154.0,308.2,219.0,222.0,219.0,286.2,237.42405342447518,319.84455303534503,191.4,148.0,206.2,88.8,183.2,148.0,225.2,74.28571428571429,229.00689968943743,317.40042938246427,251.14371003329546,336.0,240.36793894647454,323.3142108404464,193.8,326.4,193.8,327.872,239.57600000000002,285.6,85.58255567926832,151.29449900374635,104.87605225763237,42.240796503340206,115.72360150738555,1550512003.025822
5,172.8,94.8,201.875,140.4,199.125,129.4,166.0,135.6,124.8,162.6,250.0,154.6,256.2,215.6,246.0,270.6,219.0,214.0,191.6,203.0,133.0,211.0,154.0,305.0,219.0,222.0,219.0,286.2,237.42405342447518,313.0,191.4,148.0,180.8,88.8,183.2,148.0,225.2,74.28571428571429,229.00689968943743,317.40042938246427,251.14371003329546,336.0,240.0,320.0,187.25,326.4,189.4,324.8,226.75,277.0,85.18056219376756,145.4928512089814,109.17293869324628,39.038346149955025,115.72360150738555,1550512003.025822
6,197.8,88.38450413223141,198.0,140.4,176.8,129.4,166.0,135.6,124.8,124.66666666666667,250.0,154.6,256.2,215.6,246.0,270.6,210.4,214.0,191.6,203.0,133.0,242.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,320.0,191.4,148.0,206.2,81.40725248777197,183.2,148.0,225.2,62.0,229.00689968943743,317.40042938246427,251.14371003329546,336.0,229.0,328.0,187.25,326.4,190.62857142857143,324.8,240.0,320.0,107.16803580317183,169.89448545551778,143.6797039459388,82.19886078101518,141.06267616434278,1550512003.025822
7,197.8,93.0,198.0,125.0,198.0,117.0,166.0,135.6,124.8,162.6,250.0,125.0,256.2,172.0,246.0,270.6,210.4,203.0,191.6,203.0,133.0,234.0,154.0,313.0,231.4,222.0,231.4,286.2,237.42405342447518,313.0,191.4,148.0,206.2,86.0,183.2,148.0,225.2,93.0,229.00689968943743,317.40042938246427,251.14371003329546,336.0,240.0,320.0,187.21428571428572,326.4,198.0,328.0,228.95833333333334,284.1666666666667,102.99303185519422,167.3317176869807,134.0538599990527,39.90308725901792,144.68362745688316,1550512003.025822
8,170.55584415584417,93.22954545454546,203.02069805194805,115.38992604617606,176.8,109.67759740259739,166.0,135.6,124.8,126.33333333333334,250.0,111.57142857142857,256.2,163.14285714285714,246.0,270.6,208.0,219.0,208.0,203.0,133.0,250.0,154.0,313.0,242.57142857142858,222.0,219.0,286.2,237.42405342447518,313.0,191.4,148.0,178.6560296846011,86.90834879406307,183.2,148.0,225.2,86.67847203816592,229.00689968943743,317.40042938246427,251.14371003329546,336.0,240.0,320.0,187.0,326.4,187.0,324.8,240.0,320.0,103.63905205237204,125.33182710861966,109.17293869324628,91.6003195799357,144.15505083886993,1550512003.025822
9,170.4,91.39999999999999,202.98214285714286,117.05357142857143,176.8,113.33928571428571,166.0,135.6,124.8,126.33333333333333,250.0,109.28571428571429,256.2,159.85714285714286,246.0,270.6,210.4,214.0,191.6,203.0,133.0,219.0,154.0,305.0,242.57142857142856,222.0,219.0,286.2,237.42405342447518,313.0,191.4,148.0,177.25714285714284,84.97142857142856,183.2,148.0,225.2,85.0408163265306,229.00689968943743,317.40042938246427,251.14371003329546,336.0,240.0,320.0,187.0,326.4,187.0,324.8,228.95833333333334,284.1666666666667,91.54936669782504,125.33182710861972,109.17293869324628,45.94664860572184,133.91737763707008,1550512003.025822
